"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CHM00058238","NANJING, CH","1951-01-01","0.00",,,"53","38"
"CHM00058238","NANJING, CH","1951-01-02","0.01",,"42","45","39"
"CHM00058238","NANJING, CH","1951-01-03","0.00",,"44","52","40"
"CHM00058238","NANJING, CH","1951-01-04","0.00",,"44","58","34"
"CHM00058238","NANJING, CH","1951-01-05","0.00",,"49","62","40"
"CHM00058238","NANJING, CH","1951-01-06","0.07",,"46","50","42"
"CHM00058238","NANJING, CH","1951-01-07","0.08",,"41","42","39"
"CHM00058238","NANJING, CH","1951-01-08","0.04",,"42","46","40"
"CHM00058238","NANJING, CH","1951-01-09","0.46",,"32","42","26"
"CHM00058238","NANJING, CH","1951-01-10","0.11",,"25","26","23"
"CHM00058238","NANJING, CH","1951-01-11","0.00",,"26","34","19"
"CHM00058238","NANJING, CH","1951-01-12","0.00",,"23","28","18"
"CHM00058238","NANJING, CH","1951-01-13","0.00",,"20","28","14"
"CHM00058238","NANJING, CH","1951-01-14","0.00",,"24","34","16"
"CHM00058238","NANJING, CH","1951-01-15","0.00",,"29","41","23"
"CHM00058238","NANJING, CH","1951-01-16","0.00",,"35","46","27"
"CHM00058238","NANJING, CH","1951-01-17","0.00",,"36","47","28"
"CHM00058238","NANJING, CH","1951-01-18","0.00",,"36","40","34"
"CHM00058238","NANJING, CH","1951-01-19","0.00",,"36","38","35"
"CHM00058238","NANJING, CH","1951-01-20","0.00",,"34","41","27"
"CHM00058238","NANJING, CH","1951-01-21","0.00",,"26","34","20"
"CHM00058238","NANJING, CH","1951-01-22","0.00",,"28","39","21"
"CHM00058238","NANJING, CH","1951-01-23","0.00",,"30","38","23"
"CHM00058238","NANJING, CH","1951-01-24","0.00",,"34","46","27"
"CHM00058238","NANJING, CH","1951-01-25","0.00",,"37","50","29"
"CHM00058238","NANJING, CH","1951-01-26","0.00",,"37","48","29"
"CHM00058238","NANJING, CH","1951-01-27","0.00",,"39","53","31"
"CHM00058238","NANJING, CH","1951-01-28","0.00",,"43","57","31"
"CHM00058238","NANJING, CH","1951-01-29","0.00",,"47","63","37"
"CHM00058238","NANJING, CH","1951-01-30","0.00",,"49","65","35"
"CHM00058238","NANJING, CH","1951-01-31","0.00",,"48","60","34"
"CHM00058238","NANJING, CH","1951-02-01","0.00",,"49","58","40"
"CHM00058238","NANJING, CH","1951-02-02","0.00",,"44","54","35"
"CHM00058238","NANJING, CH","1951-02-03","0.00",,"36","42","32"
"CHM00058238","NANJING, CH","1951-02-04","0.37",,"31","33","27"
"CHM00058238","NANJING, CH","1951-02-05","0.07",,"28","32","25"
"CHM00058238","NANJING, CH","1951-02-06","0.00",,"33","45","25"
"CHM00058238","NANJING, CH","1951-02-07","0.06",,"35","38","31"
"CHM00058238","NANJING, CH","1951-02-08","0.12",,"36","38","34"
"CHM00058238","NANJING, CH","1951-02-09","0.12",,"33","34","32"
"CHM00058238","NANJING, CH","1951-02-10","0.00",,"33","38","31"
"CHM00058238","NANJING, CH","1951-02-11","0.00",,"33","37","30"
"CHM00058238","NANJING, CH","1951-02-12","0.00",,"35","38","31"
"CHM00058238","NANJING, CH","1951-02-13","0.29",,"35","38","33"
"CHM00058238","NANJING, CH","1951-02-14","0.06",,"36","41","34"
"CHM00058238","NANJING, CH","1951-02-15","0.00",,"37","45","31"
"CHM00058238","NANJING, CH","1951-02-16","0.00",,"40","48","34"
"CHM00058238","NANJING, CH","1951-02-17","0.00",,"42","57","32"
"CHM00058238","NANJING, CH","1951-02-18","0.00",,"45","60","37"
"CHM00058238","NANJING, CH","1951-02-19","0.00",,"44","58","35"
"CHM00058238","NANJING, CH","1951-02-20","0.00",,"51","65","41"
"CHM00058238","NANJING, CH","1951-02-21","0.21",,"47","53","40"
"CHM00058238","NANJING, CH","1951-02-22","0.00",,"50","62","42"
"CHM00058238","NANJING, CH","1951-02-23","0.70",,"46","53","41"
"CHM00058238","NANJING, CH","1951-02-24","0.38",,"36","41","32"
"CHM00058238","NANJING, CH","1951-02-25","0.27",,"33","35","29"
"CHM00058238","NANJING, CH","1951-02-26","0.43",,"39","42","33"
"CHM00058238","NANJING, CH","1951-02-27","0.60",,"40","42","38"
"CHM00058238","NANJING, CH","1951-02-28","0.03",,"36","40","32"
"CHM00058238","NANJING, CH","1951-03-01","0.00",,"29","33","26"
"CHM00058238","NANJING, CH","1951-03-02","0.00",,"29","38","23"
"CHM00058238","NANJING, CH","1951-03-03","0.00",,"33","43","26"
"CHM00058238","NANJING, CH","1951-03-04","0.00",,"39","49","32"
"CHM00058238","NANJING, CH","1951-03-05","0.17",,"40","44","34"
"CHM00058238","NANJING, CH","1951-03-06","0.02",,"41","49","37"
"CHM00058238","NANJING, CH","1951-03-07","0.00",,"44","59","32"
"CHM00058238","NANJING, CH","1951-03-08","0.00",,"50","65","40"
"CHM00058238","NANJING, CH","1951-03-09","0.00",,"55","65","49"
"CHM00058238","NANJING, CH","1951-03-10","0.00",,"58","71","47"
"CHM00058238","NANJING, CH","1951-03-11","0.31",,"45","56","37"
"CHM00058238","NANJING, CH","1951-03-12","0.00",,"37","42","32"
"CHM00058238","NANJING, CH","1951-03-13","0.00",,"38","47","32"
"CHM00058238","NANJING, CH","1951-03-14","0.00",,"43","53","39"
"CHM00058238","NANJING, CH","1951-03-15","0.00",,"49","63","38"
"CHM00058238","NANJING, CH","1951-03-16","0.00",,"52","63","42"
"CHM00058238","NANJING, CH","1951-03-17","0.00",,"56","72","45"
"CHM00058238","NANJING, CH","1951-03-18","0.00",,"50","57","41"
"CHM00058238","NANJING, CH","1951-03-19","0.00",,"42","47","38"
"CHM00058238","NANJING, CH","1951-03-20","0.00",,"45","53","37"
"CHM00058238","NANJING, CH","1951-03-21","0.00",,"49","62","43"
"CHM00058238","NANJING, CH","1951-03-22","0.00",,"47","57","40"
"CHM00058238","NANJING, CH","1951-03-23","0.00",,"43","50","36"
"CHM00058238","NANJING, CH","1951-03-24","0.17",,"45","49","43"
"CHM00058238","NANJING, CH","1951-03-25","0.01",,"50","62","41"
"CHM00058238","NANJING, CH","1951-03-26","0.00",,"56","68","48"
"CHM00058238","NANJING, CH","1951-03-27","0.73",,"48","54","42"
"CHM00058238","NANJING, CH","1951-03-28","0.00",,"50","62","42"
"CHM00058238","NANJING, CH","1951-03-29","0.00",,"49","59","40"
"CHM00058238","NANJING, CH","1951-03-30","0.00",,"49","59","44"
"CHM00058238","NANJING, CH","1951-03-31","0.00",,"52","55","49"
"CHM00058238","NANJING, CH","1951-04-01","0.27",,"49","52","46"
"CHM00058238","NANJING, CH","1951-04-02","0.46",,"48","51","45"
"CHM00058238","NANJING, CH","1951-04-03","0.00",,"51","60","47"
"CHM00058238","NANJING, CH","1951-04-04","0.00",,"54","65","46"
"CHM00058238","NANJING, CH","1951-04-05","0.24",,"51","56","47"
"CHM00058238","NANJING, CH","1951-04-06","0.00",,"50","58","45"
"CHM00058238","NANJING, CH","1951-04-07","0.00",,"56","69","47"
"CHM00058238","NANJING, CH","1951-04-08","0.00",,"60","74","50"
"CHM00058238","NANJING, CH","1951-04-09","0.00",,"59","69","53"
"CHM00058238","NANJING, CH","1951-04-10","0.46",,"52","55","50"
"CHM00058238","NANJING, CH","1951-04-11","0.05",,"54","64","48"
"CHM00058238","NANJING, CH","1951-04-12","0.00",,"55","67","46"
"CHM00058238","NANJING, CH","1951-04-13","0.00",,"58","68","52"
"CHM00058238","NANJING, CH","1951-04-14","0.00",,"54","58","51"
"CHM00058238","NANJING, CH","1951-04-15","0.00",,"54","59","50"
"CHM00058238","NANJING, CH","1951-04-16","0.20",,"52","54","49"
"CHM00058238","NANJING, CH","1951-04-17","0.00",,"51","54","47"
"CHM00058238","NANJING, CH","1951-04-18","0.47",,"47","50","45"
"CHM00058238","NANJING, CH","1951-04-19","0.05",,"49","54","45"
"CHM00058238","NANJING, CH","1951-04-20","0.00",,"56","69","47"
"CHM00058238","NANJING, CH","1951-04-21","0.00",,"59","66","55"
"CHM00058238","NANJING, CH","1951-04-22","0.00",,"57","62","53"
"CHM00058238","NANJING, CH","1951-04-23","0.00",,"58","69","49"
"CHM00058238","NANJING, CH","1951-04-24","0.00",,"58","68","52"
"CHM00058238","NANJING, CH","1951-04-25","0.12",,"55","56","54"
"CHM00058238","NANJING, CH","1951-04-26","0.43",,"60","69","54"
"CHM00058238","NANJING, CH","1951-04-27","0.00",,"61","65","58"
"CHM00058238","NANJING, CH","1951-04-28","0.30",,"59","62","56"
"CHM00058238","NANJING, CH","1951-04-29","0.03",,"61","67","58"
"CHM00058238","NANJING, CH","1951-04-30","0.01",,"59","71","54"
"CHM00058238","NANJING, CH","1951-05-01","0.08",,"59","72","54"
"CHM00058238","NANJING, CH","1951-05-02","0.00",,"61","77","51"
"CHM00058238","NANJING, CH","1951-05-03","0.00",,"67","80","58"
"CHM00058238","NANJING, CH","1951-05-04","0.00",,"70","79","66"
"CHM00058238","NANJING, CH","1951-05-05","0.23",,"64","71","60"
"CHM00058238","NANJING, CH","1951-05-06","0.00",,"64","75","57"
"CHM00058238","NANJING, CH","1951-05-07","0.14",,"63","66","62"
"CHM00058238","NANJING, CH","1951-05-08","0.00",,"66","79","60"
"CHM00058238","NANJING, CH","1951-05-09","0.00",,"68","82","58"
"CHM00058238","NANJING, CH","1951-05-10","0.00",,"69","83","60"
"CHM00058238","NANJING, CH","1951-05-11","0.00",,"71","85","62"
"CHM00058238","NANJING, CH","1951-05-12","0.00",,"72","87","63"
"CHM00058238","NANJING, CH","1951-05-13","0.00",,"78","93","68"
"CHM00058238","NANJING, CH","1951-05-14","0.64",,"71","77","63"
"CHM00058238","NANJING, CH","1951-05-15","0.03",,"67","78","61"
"CHM00058238","NANJING, CH","1951-05-16","0.00",,"69","84","61"
"CHM00058238","NANJING, CH","1951-05-17","0.00",,"64","72","59"
"CHM00058238","NANJING, CH","1951-05-18","0.00",,"65","79","55"
"CHM00058238","NANJING, CH","1951-05-19","0.00",,"66","82","55"
"CHM00058238","NANJING, CH","1951-05-20","0.00",,"71","86","60"
"CHM00058238","NANJING, CH","1951-05-21","0.00",,"66","81","55"
"CHM00058238","NANJING, CH","1951-05-22","0.00",,"72","92","58"
"CHM00058238","NANJING, CH","1951-05-23","0.00",,"79","96","69"
"CHM00058238","NANJING, CH","1951-05-24","0.06",,"73","77","68"
"CHM00058238","NANJING, CH","1951-05-25","0.05",,"75","89","66"
"CHM00058238","NANJING, CH","1951-05-26","0.00",,"75","86","67"
"CHM00058238","NANJING, CH","1951-05-27","0.00",,"71","85","63"
"CHM00058238","NANJING, CH","1951-05-28","0.00",,"76","88","68"
"CHM00058238","NANJING, CH","1951-05-29","1.40",,"73","76","69"
"CHM00058238","NANJING, CH","1951-05-30","0.70",,"71","87","65"
"CHM00058238","NANJING, CH","1951-05-31","0.20",,"71","81","67"
"CHM00058238","NANJING, CH","1951-06-01","0.00",,"73","86","64"
"CHM00058238","NANJING, CH","1951-06-02","0.00",,"79","94","71"
"CHM00058238","NANJING, CH","1951-06-03","0.16",,"72","78","66"
"CHM00058238","NANJING, CH","1951-06-04","0.00",,"70","83","62"
"CHM00058238","NANJING, CH","1951-06-05","0.00",,"72","85","63"
"CHM00058238","NANJING, CH","1951-06-06","0.03",,"68","73","64"
"CHM00058238","NANJING, CH","1951-06-07","0.00",,"69","81","63"
"CHM00058238","NANJING, CH","1951-06-08","0.00",,"72","82","65"
"CHM00058238","NANJING, CH","1951-06-09","0.00",,"74","87","64"
"CHM00058238","NANJING, CH","1951-06-10","0.00",,"76","92","66"
"CHM00058238","NANJING, CH","1951-06-11","0.00",,"76","89","69"
"CHM00058238","NANJING, CH","1951-06-12","0.00",,"76","89","66"
"CHM00058238","NANJING, CH","1951-06-13","0.03",,"74","78","71"
"CHM00058238","NANJING, CH","1951-06-14","0.79",,"68","72","66"
"CHM00058238","NANJING, CH","1951-06-15","0.05",,"69","77","65"
"CHM00058238","NANJING, CH","1951-06-16","0.00",,"71","82","62"
"CHM00058238","NANJING, CH","1951-06-17","0.00",,"72","81","66"
"CHM00058238","NANJING, CH","1951-06-18","0.00",,"71","78","65"
"CHM00058238","NANJING, CH","1951-06-19","0.00",,"83","98","74"
"CHM00058238","NANJING, CH","1951-06-20","0.00",,"88","101","79"
"CHM00058238","NANJING, CH","1951-06-21","0.41",,"85","100","74"
"CHM00058238","NANJING, CH","1951-06-22","0.25",,"71","77","67"
"CHM00058238","NANJING, CH","1951-06-23","0.01",,"72","78","67"
"CHM00058238","NANJING, CH","1951-06-24","1.76",,"68","70","65"
"CHM00058238","NANJING, CH","1951-06-25","2.09",,"66","69","65"
"CHM00058238","NANJING, CH","1951-06-26","0.05",,"69","77","63"
"CHM00058238","NANJING, CH","1951-06-27","0.00",,"70","77","67"
"CHM00058238","NANJING, CH","1951-06-28","0.00",,"72","83","64"
"CHM00058238","NANJING, CH","1951-06-29","0.00",,"76","87","70"
"CHM00058238","NANJING, CH","1951-06-30","0.00",,"77","88","70"
"CHM00058238","NANJING, CH","1951-07-01","0.00",,"78","87","72"
"CHM00058238","NANJING, CH","1951-07-02","0.00",,"79","87","72"
"CHM00058238","NANJING, CH","1951-07-03","0.00",,"78","87","71"
"CHM00058238","NANJING, CH","1951-07-04","0.00",,"77","85","72"
"CHM00058238","NANJING, CH","1951-07-05","0.00",,"77","87","69"
"CHM00058238","NANJING, CH","1951-07-06","0.15",,"76","82","74"
"CHM00058238","NANJING, CH","1951-07-07","0.42",,"75","82","72"
"CHM00058238","NANJING, CH","1951-07-08","0.33",,"73","81","70"
